# @rows
   0.90000    1.00000    1.10000    1.20000    1.30000    1.30000    1.40000    1.50000    1.60000    1.70000    1.80000    1.90000
  12.65580   10.75350    9.16670    7.89030    6.89490    6.89490    6.14640    5.61190    4.26780    2.99980    1.85900    0.69800
  12.65580   10.75360    9.16680    7.89040    6.89490    6.89490    6.14640    5.61190    5.27100    4.78110    3.89080    3.36290
  15.59860   13.00820   10.75660    8.97860    7.61460    7.61460    6.61320    5.94130    5.27160    5.12600    5.22360    5.08880
  15.59860   13.28590   11.07130    9.31560    7.96330    7.96330    6.96480    6.28560    5.59120    5.12620    5.22520    5.50430
  15.78990   13.28590   11.07130    9.31560    7.96330    7.96330    6.96480    6.28560    5.91400    5.58940    5.78650    5.50440
  16.00970   14.57530   13.65390   12.79720   11.52780   11.52780    9.55110    7.99630    5.91400    5.87000    6.00360    5.66880
  16.00970   14.57570   13.65400   12.79730   11.52780   11.52780    9.55110    7.99630    5.97370    5.87000    6.21480    5.66920
  21.34410   19.27950   17.11210   14.01110   11.88840   11.88840   10.82040    9.60880    6.80680    7.33280    6.21480    6.52570
  22.77520   20.96710   17.11220   14.01120   11.88840   11.88840   10.82040    9.67300    8.42590    7.60300    6.74060    6.92050
  23.36490   22.15880   17.17510   15.05410   12.99850   12.99850   11.14680    9.67300    8.46460    7.79180    7.16200    7.03520
  23.36490   23.54170   21.01670   18.07200   15.66160   15.66160   13.50740   11.77000    8.62430    7.79240    7.25620    7.03520
  23.75360   24.97950   21.01680   18.07270   15.66160   15.66160   13.50750   12.15430    8.62450    8.89910    7.25640    7.14220
