# @rows
   0.90000    1.00000    1.10000    1.20000    1.30000    1.30000    1.40000    1.50000    1.60000    1.70000    1.80000    1.90000
  11.31930    9.46900    7.73690    5.83430    4.29330    4.29330    3.03140    1.97310    1.05110    0.20420   -0.62490   -1.48460
  11.31930    9.46920    7.93000    6.68750    5.70910    5.70910    4.95900    4.24090    3.69160    3.39990    3.39970    3.75530
  12.67570   10.08930    7.93000    6.68760    5.70910    5.70910    4.95950    4.24090    3.69160    3.39990    3.39970    3.75530
  12.67580   11.68650    9.39250    7.56790    6.14080    6.14080    5.04790    4.40310    4.01570    3.78780    3.74220    3.94850
  12.97940   11.68650    9.39250    7.56790    6.14080    6.14080    5.04790    4.40310    4.01580    3.78790    3.74230    3.94880
  14.52270   11.75510   10.11560    8.28980    6.86400    6.86400    5.77710    4.98150    4.44850    4.17600    4.19890    4.52090
  14.52270   11.75520   11.02500   10.49300   10.13390   10.13390    9.88690    9.12640    7.67720    6.43980    5.37850    4.52100
  15.23150   12.40840   11.02510   10.49310   10.13400   10.13400    9.88690    9.12700    7.67720    6.44020    5.37900    4.58740
  21.07280   20.61700   18.66980   15.52680   12.95770   12.95770   10.85740    9.59780    8.26030    6.79770    5.71730    5.05410
  21.74370   22.04680   18.66980   15.52680   12.95790   12.95790   10.85750    9.59870    8.78340    7.37780    6.45190    5.51430
  22.61810   22.24560   19.64270   17.03000   14.78290   14.78290   12.48570   10.14860    8.78350    7.37780    6.45190    6.01250
  22.61850   23.31840   20.66210   17.39910   14.78340   14.78340   12.50490   10.71180    9.03150    8.41980    7.09050    6.01250
